place,title,time,pay,date
경기 수원시, (주)대연,10:00~20:00,"1,950,000",13분전
대구 중구, (주)대연 대백 프라자 나이키,10:00~20:30,"1,950,000",38분전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"2,050,000",49분전
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"2,050,000",2시간전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"2,050,000",4시간전
대전 유성구, 대전 유성, ,"2,000,000",5시간전
대전 중구, (주)대연 은행동 나이키, ,"2,000,000",5시간전
인천 연수구, 나이키,10:00~22:00,"2,050,000",5시간전
충남 천안시, 모다아울렛천안,11:00~21:00,"1,970,000",7시간전
경기 수원시, (주)대연,10:00~20:00,"1,950,000",7시간전
경기 하남시, 스타필드 신세계 하남 나이키,10:00~22:00,"2,050,000",12/20
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"2,050,000",12/19
경기 시흥시, 경기 시흥점,10:00~21:00,"2,000,000",12/17
경기 시흥시, 경기 시흥점,10:00~21:00,"2,000,000",12/16
