place,title,time,pay,date
인천 부평구, CU산곡향기점,22:00~07:00,"8,720",1분전
인천 남동구, CU 간석4동점,16:00~23:00,"8,720",1분전
경기 수원시, CU 곡반중점,19:00~23:00,"8,720",1분전
경기 양평군, CU 양평윤진점,12:00~17:00,"8,590",1분전
경기 이천시, CU 이천송정교차로점,06:00~15:00,"8,720",2분전
서울 용산구, CU 용산앰버서더호텔점,15:00~22:00,"8,720",2분전
충북 청주시, CU 청주미소천사점,15:00~19:00,"8,720",5분전
서울 도봉구, CU 동아청솔점,23:00~08:00,"8,720",5분전
경기 평택시, CU 평택중흥점,16:00~02:00,"8,720",6분전
서울 용산구, CU H용산몬드리안호텔점,16:00~22:00,"8,720",6분전
충남 논산시, CU 연무IC점,16:00~23:00,"8,590",6분전
경기 부천시, CU 소사현대점,24:00~07:00,"8,720",7분전
경기 평택시, CU 평택중흥점,16:00~02:00,"8,720",7분전
경기 부천시, CU 소사현대점,24:00~07:00,"8,720",7분전
경기 파주시, Cu해솔7단지점,18:00~23:00,"8,720",8분전
서울 동대문, CU 휘경SK뷰점, ,"8,720",9분전
대전 서구, CU 배재대점,24:00~08:00,"8,590",9분전
경기 평택시, CU 평택중흥점,16:00~02:00,"8,720",10분전
경기 남양주, CU 도농남양스타점,17:00~23:00,"8,720",10분전
경북 경산시, CU 러브로드점,07:00~13:00,"8,590",11분전
서울 용산구, CU 신용산점,18:00~22:00,"8,590",11분전
서울 송파구, CU 마천리치점,16:00~23:30,"8,720",11분전
경기 남양주, CU 도농남양스타점,17:00~23:00,"8,720",12분전
울산 중구, CU 태화블루점,21:00~06:00,"8,720",12분전
경기 광주시, CU 신현으뜸점,21:00~07:00,"8,720",14분전
강원 원주시, CU 원주골드파크푸른점,00:00~11:00,"8,720",15분전
강원 원주시, CU 원주골드파크푸른점,00:00~11:00,"8,720",15분전
서울 전체, CU 부영태평점,13:00~20:00,"9,000",16분전
부산 해운대, CU 재송동부점,23:00~08:00,"8,590",17분전
서울 송파구, CU 송파푸르지오1호점,22:00~08:00,"8,700",17분전
경기 시흥시, CU 시화소망점,18:00~24:00,"8,720",18분전
경기 하남시, CU 미사인스타시티점, ,"8,590",18분전
대구 전체, CU 들안점,08:00~15:00,"8,720",18분전
서울 성북구, CU 국민대점,22:00~08:00,"8,720",18분전
경기 성남시, CU 나눔성남어반점,21:00~07:00,"8,720",18분전
경기 수원시, CU 수원하이플러스점,23:00~09:00,"8,590",19분전
경기 수원시, CU 수원서둔점,23:00~09:00,"8,590",20분전
대구 북구, CU 대구북구읍내점,23:00~08:00,"8,720",20분전
서울 송파구, CU JJ올림픽점,23:00~09:00,"8,590",21분전
서울 서초구, CU 삼풍중앙점,21:00~08:00,"8,590",22분전
