place,title,time,pay,date
서울 중구, KFC 본사,09:00~18:00,"11,339",1분전
충남 아산시, 아산터미널,16:00~22:30,"8,590",7분전
충남 천안시, KFC 천안터미널, ,"8,590",21분전
대구 서구, 내당동,09:30~01:00,"8,720",33분전
대구 달서구, 상인네거리,00:00~01:00,"8,720",55분전
대구 달서구, 상인네거리,00:00~01:00,"8,720",55분전
대구 달서구, 상인네거리,00:00~01:00,"8,720",55분전
전남 순천시, 순천연향동,16:00~23:00,"8,720",58분전
경기 고양시, 주엽역, ,"28,000,000",1시간전
서울 강남구, 학동역,10:00~17:00,"8,720",2시간전
경기 고양시, KFC 행신역,17:00~24:00,"8,590",2시간전
경기 고양시, 주엽역, ,"28,000,000",3시간전
경기 성남시, 정자역,17:00~01:00,"8,590",3시간전
대전 유성구, KFC 노은역, ,"8,720",4시간전
대전 유성구, KFC 노은역, ,"8,720",4시간전
대전 유성구, KFC 노은역, ,"8,720",4시간전
강원 춘천시, 춘천이마트,10:00~22:00,"8,720",4시간전
경기 고양시, KFC 행신역,17:00~24:00,"8,590",4시간전
경기 고양시, 주엽역, ,"28,000,000",16시간전
경기 수원시, 영통씨네마,18:00~24:00,"8,720",19시간전
서울 서초구, 강남고속터미널,17:00~01:00,"8,720",23시간전
경기 고양시, 일산장항, ,"28,000,000",12/20
경기 김포시, 김포,11:30~18:00,"8,720",12/20
대구 달서구, 대구용산, ,"8,720",12/18
대구 달서구, 대구용산, ,"8,720",12/18
대구 달서구, 대구용산, ,"8,590",12/18
대구 달서구, 대구용산, ,"8,590",12/18
경기 용인시, 용인상현,16:00~23:00,"8,720",12/18
경기 평택시, 평택,09:00~23:00,"8,590",12/17
서울 영등포, 동여의도,16:00~23:00,"8,590",12/17
서울 관악구, 서울대입구역,12:00~24:00,"8,720",12/17
서울 서초구, 강남고속터미널,17:00~01:00,"8,720",12/16
대전 서구, 대전시청역, ,"8,720",12/16
경기 김포시, 김포한강,17:00~23:00,"8,720",12/16
대전 서구, 대전시청역, ,"8,720",12/16
대전 유성구, KFC 유성온천, ,"8,590",12/16
대구 서구, 내당동,09:30~01:00,"8,720",12/16
대구 서구, 내당동,09:30~01:00,"8,590",12/15
서울 전체, 서초동, ,"8,590",12/15
경기 김포시, 김포, ,"8,590",12/15
