place,title,time,pay,date
경기 성남시, 교촌치킨 동천1호점,17:00~23:00,"90,000",1분전
전남 해남군, 교촌치킨 해남점,12:00~24:00,"9,000",1분전
경기 용인시, 교촌치킨 동천1호점,17:00~23:00,"90,000",1분전
대구 남구, 교촌치킨 앞산,13:00~18:00,"9,000",2분전
대전 유성구, 교촌치킨 관평,17:00~19:00,"11,000",3분전
경기 김포시, 교촌치킨 김포 장기1호,17:00~24:00,"13,000",10분전
서울 강남구, 교촌치킨 일원1동점,12:00~24:00,"3,200,000",11분전
서울 동대문, 교촌치킨 청량리역점,18:00~01:00,"10,000",11분전
서울 강남구, 교촌치킨 일원1동점,12:00~24:00,"3,200,000",12분전
경기 오산시, 교촌치킨 병점1호,15:00~24:00,"12,000",13분전
대전 전체, 교촌치킨 대전 둔산2호, ,"10,000",21분전
광주 서구, 교촌치킨 화정2호,17:00~24:00,"9,500",22분전
대구 서구, 교촌치킨 대구 내당,18:00~01:00,"8,720",26분전
인천 연수구, 교촌치킨 인천 선학연수3호,18:00~01:00,"10,500",27분전
경남 통영시, 교촌치킨 통영 미수봉평,05:00~11:00,"10,000",27분전
대구 서구, 교촌치킨 대구 내당,17:00~24:00,"9,000",31분전
경남 창원시, 교촌치킨 석전회성,18:00~23:00,"9,000",35분전
서울 마포구, 교촌치킨 신수,18:00~23:00,"11,000",36분전
서울 마포구, 교촌치킨 신수,18:00~23:00,"11,000",36분전
서울 마포구, 교촌치킨 신수,18:00~23:00,"11,000",37분전
경남 창원시, 교촌치킨 석전회성,18:00~00:30,"8,590",39분전
대구 남구, 교촌치킨 앞산,13:00~18:00,"9,000",39분전
서울 전체, 교촌치킨 반포삼호가든,11:30~17:00,"10,000",40분전
경기 평택시, 교촌치킨 평택 안중1호,16:00~24:00,"9,000",40분전
인천 계양구, 교촌치킨 인천 효성2호,18:00~24:00,"9,000",43분전
경기 남양주, 교촌치킨 남양주 도농1호,18:00~23:00,"12,000",44분전
서울 동대문, 교촌치킨 신이문점,18:00~24:00,"10,000",44분전
대구 중구, 교촌치킨 대구 남산대신,17:00~21:00,"8,720",45분전
대구 중구, 교촌치킨 대구 남산대신,17:00~21:00,"8,720",46분전
서울 양천구, 교촌치킨 서울 목동오거리,12:00~24:00,"3,000,000",48분전
부산 사하구, 교촌치킨 부산 다대1호,17:00~24:00,"8,720",51분전
서울 영등포, 교촌치킨 서울 문래,18:00~01:00,"11,000",53분전
서울 용산구, 교촌치킨 서울 신공덕,17:30~23:30,"11,000",1시간전
서울 강동구, 교촌치킨 서울동부 명일1호점,12:00~24:00,"3,000,000",1시간전
경기 안양시, 교촌치킨 안양1호,18:00~24:00,"9,000",1시간전
서울 강서구, 교촌치킨 서울서부 방화1호점,18:00~22:00,"11,000",1시간전
인천 서구, 교촌치킨 가정루원시티점,17:00~24:00,"12,000",1시간전
인천 서구, 교촌치킨 가정루원시티점,17:00~24:00,"12,000",1시간전
서울 강서구, 교촌치킨 서울서부 방화1호점,18:00~22:00,"11,000",1시간전
인천 서구, 교촌치킨 가정루원시티점,17:00~24:00,"12,000",1시간전
