place,title,time,pay,date
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"8,590",3분전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"8,590",3분전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"8,590",4분전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"8,590",5분전
대구 서구, 버거킹 대구평리DT점,19:00~01:30,"8,720",7분전
대구 서구, 버거킹 대구평리DT점,19:00~01:30,"8,720",9분전
인천 남동구, 인천논현점,18:00~01:30,"8,720",10분전
인천 남동구, 인천논현점,18:00~01:30,"8,720",10분전
인천 남동구, 인천논현점,15:00~24:00,"8,720",12분전
인천 남동구, 인천논현점,15:00~24:00,"8,720",12분전
경기 수원시, 버거킹 수원호매실SK점,17:00~24:00,"8,590",15분전
서울 관악구, 버거킹 낙성대2점, ,"8,590",22분전
경기 평택시, 버거킹 평택죽백DT점,08:00~24:00,"8,590",29분전
경기 평택시, 버거킹 평택죽백DT점,08:00~24:00,"8,590",30분전
대구 수성구, 버거킹 대구만촌점,08:00~24:00,"8,720",31분전
대구 수성구, 버거킹 대구만촌점,08:00~24:00,"8,720",33분전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"8,590",34분전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"8,590",35분전
전북 전주시, 버거킹 전주송천DT점,08:00~24:00,"8,590",35분전
서울 노원구, 버거킹 공릉역점,00:00~24:00,"8,590",36분전
경기 고양시, 버거킹 일산산들SK점, ,"8,590",43분전
경기 고양시, 버거킹 일산산들SK점, ,"8,590",43분전
경기 고양시, 버거킹 일산산들SK점, ,"8,590",44분전
경기 고양시, 버거킹 일산산들SK점, ,"8,590",44분전
경기 고양시, 버거킹 일산산들SK점, ,"8,590",45분전
경기 의정부, 버거킹 의정부DT점,23:00~06:00,"8,590",50분전
경기 부천시, 부천중동점,15:00~22:00,"8,720",52분전
울산 중구, 울산우정SK점,10:00~16:00,"8,720",54분전
경북 경산시, 버거킹 경산진량DT점,15:00~20:00,"8,720",55분전
경북 안동시, 버거킹 안동옥동점(S), ,"1,800,000",58분전
경북 안동시, 버거킹 안동옥동점(S), ,"1,800,000",59분전
서울 용산구, 버거킹 국제점,09:30~15:00,"8,720",1시간전
경북 포항시, 버거킹 포항법원앞SK점,16:00~21:00,"8,590",1시간전
서울 서초구, 버거킹 방배카페골목,17:00~22:30,"8,720",1시간전
전북 익산시, 버거킹 익산영등점, ,"2,100,000",1시간전
대전 전체, 버거킹 대전용두DT점,15:00~21:00,"8,720",1시간전
대구 달서구, 대구성서이마트점,15:00~20:00,"8,720",1시간전
서울 마포구, 버거킹 서교동사거리점,12:00~18:30,"8,720",1시간전
서울 강남구, 버거킹 청담주성점(S), ,"8,590",1시간전
서울 노원구, 버거킹 공릉역점,00:00~24:00,"8,590",1시간전
