place,title,time,pay,date
경북 경산시, 역전할머니맥주  경산 하양점,17:00~02:00,"8,800",17분전
서울 성북구, 역전할머니맥주  서울 성신여대점,15:00~02:00,"2,600,000",1시간전
충남 계룡시, 역전할머니맥주  충남 계룡엄사점, ,"2,300,000",2시간전
경기 용인시, 역전할머니맥주 용인 보정점,17:00~02:00,"10,000",5시간전
부산 해운대, 역전할머니맥주  부산 장산점, ,"2,600,000",20시간전
광주 북구, 역전할머니맥주  광주 일곡점, ,"8,720",23시간전
대구 전체, 역전할머니맥주  대구 지산점,18:30~02:30,"9,500",23시간전
대구 전체, 역전할머니맥주  대구 지산점,18:30~02:30,"9,500",23시간전
대구 전체, 역전할머니맥주  대구 지산점,17:00~03:00,"2,800,000",23시간전
대구 전체, 역전할머니맥주  대구 지산점,17:00~03:00,"2,800,000",23시간전
경남 창원시, 역전할머니맥주  창원 상남점,19:00~05:00,"9,000",12/20
대구 달서구, 역전할머니맥주  대구 대천점,17:00~04:00,"9,000",12/18
대구 달서구, 역전할머니맥주  대구 대천점,17:00~04:00,"9,000",12/18
서울 양천구, 역전할머니맥주  서울 목동로데오점, ,"2,000,000",12/18
경기 평택시, 역전할머니맥주  평택 포승점,17:00~03:00,"9,000",12/13
경기 평택시, 역전할머니맥주  평택 포승점,17:00~03:00,"9,000",12/12
서울 성동구, 역전할머니맥주  서울 한양대점, ,"10,000",12/11
충남 천안시, 역전할머니맥주  천안 불당점,17:00~02:00,"9,000",12/10
전남 목포시, 역전할머니맥주  목포 평화광장점,18:00~05:00,"2,200,000",12/10
울산 중구, 역전할머니맥주  울산 병영점,18:00~05:00,"2,500,000",12/09
충남 논산시, 역전할머니맥주  논산 취암점,19:00~01:00,"8,590",12/08
충남 논산시, 역전할머니맥주  논산 취암점,19:00~01:00,"8,590",12/08
경기 평택시, 역전할머니맥주  평택 포승점,17:00~03:00,"9,000",12/08
인천 부평구, 역전할머니맥주  인천 동암점,16:00~04:00,"2,600,000",12/08
부산 강서구, 역전할머니맥주 부산 명지포스코점, ,"8,590",12/07
충남 천안시, 역전할머니맥주  천안 성성점,20:00~02:30,"8,900",12/07
충남 보령시, 역전할머니맥주  보령 동대점,20:00~03:00,"9,500",12/07
부산 기장군, 역전할머니맥주  부산 정관점,08:00~12:00,"9,000",12/07
전남 순천시, 역전할머니맥주  순천 오천점, ,"8,590",12/05
충북 청주시, 역전할머니맥주  청주 강서지구점,17:00~03:00,"2,000,000",12/05
경남 김해시, 역전할머니맥주  김해 인제대점, ,"8,600",12/05
