place,title,time,pay,date
경기 수원시, 한경기획 청년다방 수원장안구청점,22:00~23:00,"9,000",7시간전
경기 평택시, 한경기획 청년다방 평택청북점,10:30~09:30,"10,000",8시간전
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"9,000",8시간전
경기 평택시, 한경기획 평택고덕신도시점,18:00~22:00,"9,000",8시간전
서울 노원구, 한경기획 청년다방 노원역점,12:00~23:00,"2,200,000",12/19
경기 안양시, 한경기획 청년다방 안양일번가점,17:00~21:30,"8,720",12/19
경기 안양시, 한경기획 청년다방 안양일번가점,17:00~21:30,"8,720",12/19
충남 아산시, 한경기획 청년다방 아산터미널점,17:00~21:00,"8,600",12/19
경기 고양시, 한경기획 고양향동점,10:00~15:00,"9,000",12/18
강원 강릉시, 한경기획 청년다방 강릉금학점, ,"8,590",12/18
인천 부평구, 한경기획 청년다방 인천삼산점,10:00~22:00,"2,100,000",12/18
강원 강릉시, 한경기획 청년다방 강릉금학점,10:30~22:30,"10,000",12/18
인천 부평구, 한경기획 청년다방 인천삼산점,18:00~22:00,"8,590",12/15
인천 중구, 한경기획 청년다방 영종하늘도시점,10:00~22:00,"2,500,000",12/14
서울 서대문, 한경기획 청년다방 가재울점,11:00~22:00,"2,200,000",12/11
충북 청주시, 한경기획 청년다방 청주지웰시티점,17:00~22:00,"8,590",12/10
강원 강릉시, 한경기획 청년다방 강릉금학점,10:30~22:30,"10,000",12/06
충남 홍성군, 한경기획 청년다방 홍성내포점,10:00~22:00,"2,300,000",12/05
